CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,METHOD,SITREE_EST,VALIDCD,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS
35830063010497,48528602010760,,2008,2,1,261,25375,1,4,98.0,9.9,48,122,17,41,100,3,1,,1,2009-08-11 10:22:53,2024-09-17 13:16:06,2,5,,0,,,,,,,N,3,,,,,,,28,50,PISI01
35830061010497,48528602010760,,2008,2,1,261,25375,1,2,263.0,10.6,78,100,13,75,100,4,2,,1,2009-08-11 10:22:53,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,61,50,TSHE02
35830062010497,48528602010760,,2008,2,1,261,25375,1,5,98.0,14.4,97,101,17,92,100,4,1,,1,2009-08-11 10:22:53,2024-09-17 13:16:06,2,5,,0,,,,,,,N,3,,,,,,,66,50,PISI01
35837412010497,48528603010760,,2008,2,1,261,29545,2,1,747.0,10.7,56,72,44,46,50,2,2,,1,2009-08-11 10:22:55,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35837413010497,48528603010760,,2008,2,1,261,29545,2,2,747.0,11.3,46,78,44,34,50,2,2,,1,2009-08-11 10:22:55,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35837411010497,48528603010760,,2008,2,1,261,29545,2,3,747.0,13.3,61,79,44,49,50,2,2,,1,2009-08-11 10:22:55,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
1389671550290487,48528603010760,,2008,2,1,261,29545,1,1,747.0,10.7,56,72,44,46,50,2,2,,1,2009-08-11 10:22:55,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
1389671551290487,48528603010760,,2008,2,1,261,29545,1,2,747.0,11.3,46,78,44,34,50,2,2,,1,2009-08-11 10:22:55,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
1389671552290487,48528603010760,,2008,2,1,261,29545,1,3,747.0,13.3,61,79,44,49,50,2,2,,1,2009-08-11 10:22:55,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35830207010497,48528604010760,,2008,2,1,261,7772,1,1,747.0,12.6,53,56,44,49,50,1,2,,1,2009-08-11 10:22:57,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35830206010497,48528604010760,,2008,2,1,261,7772,1,2,747.0,13.7,53,37,44,61,50,1,2,,1,2009-08-11 10:22:57,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35829279010497,21930650010497,,2006,2,1,201,29462,1,4,263.0,8.2,48,48,13,72,100,2,1,,1,2009-08-11 09:12:23,2024-09-17 13:16:06,2,3,,0,,,,,,,N,1,,,,,,,49,50,TSHE02
35829283010497,21930758010497,,2006,2,1,201,45208,1,1,263.0,20.8,101,183,13,72,100,2,1,,1,2009-08-11 09:12:25,2024-09-17 13:16:06,2,3,,0,,,,,,,N,3,,,,,,,68,50,TSHE02
35829282010497,21930758010497,,2006,2,1,201,45208,1,3,263.0,12.8,89,119,13,78,100,3,1,,1,2009-08-11 09:12:25,2024-09-17 13:16:06,2,3,,0,,,,,,,N,1,,,,,,,67,50,TSHE02
35829284010497,21930758010497,,2006,2,1,201,45208,1,4,263.0,11.5,63,211,13,55,100,3,1,,1,2009-08-11 09:12:25,2024-09-17 13:16:06,2,3,,0,,,,,,,N,1,,,,,,,42,50,TSHE02
35829421010497,21930836010497,,2006,2,1,201,666,1,1,242.0,20.2,80,173,22,72,100,1,2,,1,2009-08-11 09:12:29,2024-09-17 13:16:06,2,3,,,,,,,,,O,3,,,,,,,55,50,TSHE02
35829420010497,21930836010497,,2006,2,1,201,666,1,2,242.0,18.8,87,170,22,79,100,2,2,,1,2009-08-11 09:12:29,2024-09-17 13:16:06,2,3,,,,,,,,,O,3,,,,,,,60,50,TSHE02
35829422010497,21930836010497,,2006,2,1,201,666,1,6,242.0,16.5,71,175,22,64,100,4,2,,1,2009-08-11 09:12:29,2024-09-17 13:16:06,2,3,,,,,,,,,O,3,,,,,,,49,50,TSHE02
35829453010497,21930990010497,,2006,2,1,201,19388,1,2,264.0,17.0,49,477,24,43,100,1,2,,1,2009-08-11 09:12:35,2024-09-17 13:16:06,2,3,,,,,,,,,O,3,,,,,,,17,50,TSHE01
35829455010497,21930990010497,,2006,2,1,201,19388,1,3,264.0,13.7,44,298,24,38,100,3,2,,1,2009-08-11 09:12:35,2024-09-17 13:16:06,2,3,,,,,,,,,O,3,,,,,,,17,50,TSHE01
